time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1296.125,980.25,1430.25,1142.5,1589,2270.375,2356.75,1996.75,2509.125,915.25,40.8,37.55
0.1,1296,980.25,1430.375,1142.5,1588.875,2270.375,2356.75,1996.75,2508.875,914.75,40.8,37.58
0.2,1296.125,980.125,1430.25,1142.5,1588.875,2270.375,2356.75,1996.75,2508.625,914.25,40.8,37.52
0.3,1296,980.125,1430.375,1142.5,1589,2270.5,2356.75,1996.75,2508.5,913.875,40.77,37.53
0.4,1296,980.125,1430.25,1142.5,1589,2270.375,2356.75,1996.625,2508.25,913.375,40.8,37.53
0.5,1296,980.125,1430.375,1142.5,1589,2270.5,2356.75,1996.625,2508.125,913,40.81,37.56
0.6,1296,980.125,1430.25,1142.5,1589,2270.5,2356.75,1996.625,2507.875,912.625,40.8,37.49
0.7,1296,980.125,1430.375,1142.5,1589,2270.5,2356.75,1996.625,2507.75,912.25,40.81,37.52
0.8,1296,980.125,1430.375,1142.5,1588.875,2270.5,2356.75,1996.625,2507.625,911.75,40.78,37.55
0.9,1296,980.125,1430.375,1142.5,1588.875,2270.5,2356.75,1996.625,2507.375,911.375,40.81,37.55
1.0,1296,980.125,1430.25,1142.5,1588.875,2270.5,2356.75,1996.5,2507.25,911,40.81,37.49
1.1,1296,980,1430.375,1142.5,1589,2270.5,2356.75,1996.5,2507.125,910.75,40.78,37.58
1.2,1296,980.125,1430.375,1142.5,1588.875,2270.5,2356.75,1996.5,2507,910.375,40.81,37.51
1.3,1295.875,980,1430.375,1142.5,1588.875,2270.5,2356.75,1996.5,2506.875,910,40.81,37.51
1.4,1296,980.125,1430.375,1142.5,1589,2270.625,2356.75,1996.5,2506.75,909.625,40.81,37.51
1.5,1295.875,980,1430.375,1142.5,1588.875,2270.5,2356.75,1996.5,2506.625,909.25,40.8,37.56
1.6,1296,980.125,1430.375,1142.5,1589,2270.5,2356.875,1996.375,2506.5,909,40.8,37.53
1.7,1296,980.125,1430.375,1142.5,1589,2270.625,2356.75,1996.5,2506.375,908.625,40.78,37.52
