time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1211.875,997.5,1397.5,1066.875,1556.25,2253.625,2332.25,1868,2443.625,815.75,41.05,33.89
0.1,1211.75,997.5,1397.5,1066.875,1556.375,2253.625,2332.25,1867.875,2443.625,815.75,41.05,33.92
0.2,1211.75,997.375,1397.625,1066.875,1556.375,2253.5,2332.25,1867.875,2443.625,815.75,41.08,33.89
0.3,1211.75,997.5,1397.625,1066.875,1556.375,2253.625,2332.25,1867.875,2443.625,815.75,41.05,33.91
0.4,1211.75,997.5,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.625,815.75,41.1,33.93
0.5,1211.75,997.375,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.5,815.75,41.08,33.91
0.6,1211.75,997.375,1397.5,1066.875,1556.25,2253.625,2332.25,1868,2443.5,815.75,41.08,33.89
0.7,1211.75,997.375,1397.5,1067,1556.25,2253.5,2332.125,1867.875,2443.5,815.75,41.07,33.86
0.8,1211.75,997.375,1397.5,1066.875,1556.25,2253.625,2332.25,1867.875,2443.5,815.75,41.08,33.91
0.9,1211.75,997.375,1397.5,1066.875,1556.375,2253.5,2332.25,1867.875,2443.5,815.625,41.07,33.93
1.0,1211.75,997.375,1397.5,1066.875,1556.25,2253.5,2332.125,1868,2443.375,815.75,41.08,33.93
1.1,1211.75,997.375,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.86
1.2,1211.75,997.375,1397.625,1066.875,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.91
1.3,1211.75,997.375,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.07,33.89
1.4,1211.75,997.25,1397.625,1067,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.91
1.5,1211.75,997.25,1397.5,1066.875,1556.25,2253.625,2332.125,1867.875,2443.5,815.625,41.1,33.89
1.6,1211.75,997.25,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.89
1.7,1211.625,997.25,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.91
1.8,1211.75,997.25,1397.5,1066.875,1556.125,2253.5,2332.125,1867.875,2443.375,815.625,41.07,33.89
1.9,1211.75,997.25,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.25,815.625,41.1,33.91
2.0,1211.75,997.25,1397.625,1066.875,1556.125,2253.5,2332.125,1867.875,2443.375,815.625,41.1,33.93
2.1,1211.75,997.25,1397.5,1066.875,1556.125,2253.5,2332.125,1867.875,2443.375,815.625,41.07,33.93
2.2,1211.625,997.25,1397.5,1066.875,1556.125,2253.5,2332,1867.875,2443.375,815.625,41.11,33.91
2.3,1211.625,997.25,1397.5,1066.875,1556.25,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.89
2.4,1211.625,997.125,1397.5,1066.875,1556.125,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.85
2.5,1211.625,997.125,1397.5,1066.875,1556.125,2253.5,2332.125,1867.875,2443.25,815.625,41.08,33.88
2.6,1211.625,997.125,1397.5,1066.75,1556.125,2253.5,2332.125,1867.875,2443.25,815.5,41.08,33.89
2.7,1211.625,997.125,1397.5,1066.875,1556.125,2253.5,2332.125,1867.75,2443.375,815.5,41.11,33.89
2.8,1211.625,997.125,1397.5,1066.875,1556.125,2253.5,2332.125,1867.875,2443.375,815.625,41.08,33.88
2.9,1211.625,997.125,1397.5,1066.875,1556.125,2253.5,2332.125,1867.875,2443.25,815.5,41.11,33.89
3.0,1211.625,997,1397.5,1066.75,1556.125,2253.5,2332.125,1867.875,2443.25,815.5,41.11,33.87
3.1,1211.625,997.125,1397.5,1066.75,1556.125,2253.5,2332.125,1867.875,2443.25,815.5,41.08,33.88
3.2,1211.625,997.125,1397.5,1066.875,1556.125,2253.5,2332.25,1867.875,2443.25,815.5,41.08,33.86
3.3,1211.625,997.125,1397.5,1066.75,1556.125,2253.5,2332.125,1867.75,2443.125,815.5,41.07,33.91
