time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1372.75,1011.375,1436,1211.25,1616.375,2311.25,2372.625,2209.5,2637.875,1010.875,41.96,37.02
0.1,1372.75,1011.5,1436,1211.125,1616.25,2311.125,2372.5,2209.375,2637.875,1010.875,41.95,37.03
0.2,1372.625,1011.5,1436,1211.125,1616.375,2311.125,2372.5,2209.375,2637.875,1010.875,41.94,36.99
0.3,1372.75,1011.5,1435.875,1211.125,1616.375,2311.125,2372.5,2209.375,2637.75,1010.75,41.98,37.04
0.4,1372.75,1011.5,1436,1211.125,1616.375,2311,2372.5,2209.375,2637.75,1010.75,41.96,37.02
0.5,1372.625,1011.5,1436,1211.125,1616.25,2311,2372.375,2209.25,2637.75,1010.75,41.96,37
0.6,1372.75,1011.5,1435.875,1211.125,1616.25,2311,2372.5,2209.25,2637.75,1010.625,41.96,37.02
0.7,1372.75,1011.5,1435.875,1211.125,1616.25,2310.875,2372.375,2209.125,2637.75,1010.625,41.96,37.02
0.8,1372.75,1011.5,1435.875,1211.125,1616.25,2310.875,2372.375,2209.125,2637.75,1010.5,41.98,37.02
0.9,1372.75,1011.5,1435.875,1211.125,1616.25,2310.875,2372.375,2209.125,2637.625,1010.5,41.96,36.99
1.0,1372.75,1011.375,1435.875,1211.125,1616.25,2310.875,2372.375,2209,2637.625,1010.5,41.98,37.02
1.1,1372.75,1011.5,1435.875,1211,1616.25,2310.875,2372.375,2209,2637.625,1010.5,41.98,36.99
1.2,1372.75,1011.5,1435.875,1211,1616.25,2310.875,2372.375,2209,2637.5,1010.5,41.96,37.02
1.3,1372.75,1011.375,1435.875,1211.125,1616.25,2310.75,2372.375,2209,2637.5,1010.375,41.96,36.96
1.4,1372.75,1011.5,1435.875,1211,1616.25,2310.875,2372.375,2209,2637.5,1010.375,41.99,37.01
1.5,1372.75,1011.5,1435.875,1211,1616.25,2310.875,2372.25,2208.875,2637.5,1010.25,41.98,36.98
1.6,1372.75,1011.5,1435.875,1211,1616.25,2310.75,2372.375,2208.875,2637.5,1010.25,41.95,36.97
1.7,1372.75,1011.5,1435.875,1211,1616.375,2310.75,2372.5,2208.875,2637.5,1010.25,41.96,36.99
1.8,1372.75,1011.5,1435.875,1211,1616.25,2310.75,2372.375,2208.75,2637.5,1010.25,41.98,36.95
1.9,1372.75,1011.5,1435.875,1211,1616.25,2310.875,2372.375,2208.75,2637.375,1010.125,41.99,36.92
2.0,1372.75,1011.5,1435.875,1211,1616.375,2310.75,2372.375,2208.75,2637.375,1010.125,41.99,37.01
2.1,1372.75,1011.5,1435.875,1211,1616.25,2310.75,2372.375,2208.75,2637.375,1010,41.96,36.99
2.2,1372.75,1011.5,1435.875,1211,1616.25,2310.75,2372.25,2208.75,2637.375,1010,41.98,36.95
2.3,1372.75,1011.5,1435.875,1211,1616.375,2310.875,2372.375,2208.625,2637.375,1010,41.98,37.01
2.4,1372.75,1011.5,1435.875,1211,1616.375,2310.875,2372.375,2208.625,2637.25,1009.875,41.99,36.95
2.5,1372.75,1011.5,1435.875,1211,1616.375,2310.75,2372.375,2208.625,2637.25,1009.875,41.98,36.98
2.6,1372.75,1011.5,1435.875,1211,1616.375,2310.875,2372.375,2208.5,2637.25,1009.875,41.98,37.01
2.7,1372.75,1011.5,1435.875,1210.875,1616.375,2310.875,2372.25,2208.5,2637.25,1009.875,41.99,36.99
2.8,1372.625,1011.375,1435.875,1210.875,1616.375,2310.875,2372.375,2208.5,2637.25,1009.75,41.96,36.99
2.9,1372.625,1011.375,1435.875,1210.875,1616.25,2310.875,2372.375,2208.5,2637.25,1009.75,41.99,37.02
3.0,1372.75,1011.375,1435.875,1210.875,1616.25,2310.75,2372.375,2208.5,2637.25,1009.75,41.99,36.95
3.1,1372.75,1011.375,1435.875,1210.875,1616.25,2310.875,2372.375,2208.5,2637.125,1009.625,41.96,37
3.2,1372.75,1011.375,1435.875,1210.875,1616.25,2310.875,2372.375,2208.375,2637.125,1009.625,41.98,36.98
3.3,1372.75,1011.375,1435.875,1210.875,1616.25,2310.875,2372.375,2208.375,2637.125,1009.625,41.99,36.93
3.4,1372.75,1011.375,1435.875,1210.875,1616.375,2310.875,2372.375,2208.375,2637,1009.5,41.99,36.93
3.5,1372.625,1011.375,1435.875,1210.75,1616.25,2310.875,2372.25,2208.25,2637,1009.5,41.98,36.95
3.6,1372.625,1011.375,1435.875,1210.75,1616.375,2310.75,2372.375,2208.25,2637,1009.5,41.99,36.96
3.7,1372.625,1011.25,1435.875,1210.75,1616.25,2310.75,2372.25,2208.25,2637,1009.375,41.98,37.02
3.8,1372.625,1011.25,1435.875,1210.75,1616.25,2310.875,2372.25,2208.125,2636.875,1009.375,41.99,36.95
3.9,1372.625,1011.25,1435.875,1210.75,1616.25,2310.875,2372.375,2208.125,2637,1009.375,41.99,36.93
4.0,1372.625,1011.25,1435.875,1210.75,1616.25,2310.75,2372.25,2208.125,2636.875,1009.375,42,36.98
4.1,1372.5,1011.125,1435.875,1210.75,1616.25,2310.75,2372.25,2208.125,2636.875,1009.25,41.99,36.93
4.2,1372.5,1011.125,1435.875,1210.75,1616.25,2310.75,2372.375,2208.125,2636.875,1009.125,41.96,36.9
4.3,1372.5,1011.125,1435.875,1210.75,1616.25,2310.75,2372.25,2208,2636.75,1009.125,42,36.93
4.4,1372.5,1011.125,1435.875,1210.75,1616.25,2310.75,2372.25,2208,2636.75,1009.125,41.98,36.95
4.5,1372.5,1011.125,1435.875,1210.75,1616.25,2310.75,2372.25,2207.875,2636.75,1009.125,41.98,36.92
4.6,1372.5,1011.125,1435.875,1210.75,1616.25,2310.625,2372.25,2207.875,2636.625,1009.125,41.96,36.95
4.7,1372.5,1011,1435.875,1210.625,1616.25,2310.625,2372.25,2207.875,2636.625,1009,41.98,36.93
4.8,1372.5,1011,1435.875,1210.625,1616.25,2310.625,2372.25,2207.75,2636.625,1009,42,36.93
4.9,1372.375,1011.125,1435.875,1210.625,1616.25,2310.625,2372.25,2207.75,2636.625,1008.875,41.98,36.96
5.0,1372.5,1011.125,1435.75,1210.5,1616.125,2310.625,2372.25,2207.75,2636.625,1009,42,36.95
5.1,1372.5,1011.125,1435.625,1210.5,1616.25,2310.625,2372.125,2207.625,2636.625,1008.875,41.99,36.9
5.2,1372.625,1011.125,1435.625,1210.375,1616.25,2310.5,2372.125,2207.625,2636.5,1008.75,41.99,36.92
