time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1355.25,964.25,1460,1203.125,1600.625,2296.25,2360.5,2228,2589.125,788.5,40.43,39.55
0.1,1355.25,964.25,1460,1203.125,1600.625,2296.375,2360.5,2228,2589,788.5,40.44,39.49
0.2,1355.25,964.25,1459.875,1203.125,1600.625,2296.25,2360.5,2228,2589,788.5,40.44,39.49
0.3,1355.25,964.375,1460,1203.125,1600.75,2296.25,2360.5,2228,2589,788.625,40.44,39.52
0.4,1355.25,964.375,1460,1203.125,1600.75,2296.375,2360.5,2228,2589.125,788.625,40.46,39.49
0.5,1355.25,964.375,1460,1203.125,1600.75,2296.375,2360.625,2228,2589.125,788.5,40.44,39.52
0.6,1355.375,964.375,1460,1203.125,1600.625,2296.375,2360.625,2228,2589.125,788.625,40.46,39.49
0.7,1355.25,964.375,1459.875,1203.125,1600.625,2296.375,2360.625,2228,2589.125,788.625,40.44,39.48
0.8,1355.25,964.375,1460,1203.125,1600.75,2296.375,2360.625,2228,2589.125,788.625,40.46,39.53
0.9,1355.25,964.375,1460,1203.25,1600.625,2296.375,2360.625,2228,2589,788.625,40.44,39.51
1.0,1355.25,964.375,1460,1203.125,1600.75,2296.375,2360.625,2228,2589.125,788.75,40.46,39.53
1.1,1355.25,964.375,1460,1203.125,1600.75,2296.375,2360.625,2228.125,2589,788.625,40.44,39.55
1.2,1355.25,964.375,1460,1203.125,1600.625,2296.5,2360.625,2228.125,2589.125,788.625,40.46,39.49
1.3,1355.25,964.5,1460,1203.125,1600.75,2296.5,2360.625,2228.125,2589,788.625,40.44,39.52
1.4,1355.25,964.5,1460,1203.25,1600.625,2296.5,2360.625,2228.125,2589,788.625,40.46,39.54
1.5,1355.25,964.375,1460,1203.25,1600.75,2296.625,2360.625,2228.125,2589,788.625,40.46,39.47
1.6,1355.375,964.5,1460,1203.25,1600.75,2296.625,2360.625,2228.125,2589.125,788.625,40.46,39.49
1.7,1355.25,964.5,1460,1203.25,1600.75,2296.75,2360.625,2228.125,2589.125,788.75,40.46,39.54
1.8,1355.375,964.5,1460,1203.25,1600.625,2296.625,2360.625,2228.125,2589.125,788.625,40.49,39.48
1.9,1355.375,964.5,1460,1203.25,1600.75,2296.625,2360.625,2228.25,2589,788.625,40.46,39.51
2.0,1355.375,964.5,1459.875,1203.25,1600.75,2296.625,2360.5,2228.25,2589,788.75,40.46,39.47
2.1,1355.375,964.5,1460,1203.25,1600.75,2296.625,2360.625,2228.125,2589,788.625,40.47,39.51
2.2,1355.25,964.5,1459.875,1203.25,1600.625,2296.625,2360.625,2228.125,2589.125,788.75,40.47,39.48
2.3,1355.25,964.5,1460,1203.25,1600.75,2296.625,2360.625,2228.25,2589,788.75,40.46,39.47
2.4,1355.25,964.5,1460,1203.25,1600.75,2296.625,2360.625,2228.25,2589.125,788.75,40.46,39.48
2.5,1355.375,964.625,1460,1203.25,1600.75,2296.625,2360.5,2228.25,2589,788.75,40.46,39.53
2.6,1355.25,964.625,1459.875,1203.25,1600.75,2296.625,2360.625,2228.25,2589.125,788.75,40.49,39.5
2.7,1355.375,964.625,1460,1203.25,1600.75,2296.625,2360.625,2228.25,2589.125,788.75,40.49,39.51
2.8,1355.375,964.625,1460,1203.25,1600.75,2296.625,2360.625,2228.25,2589.125,788.75,40.49,39.51
2.9,1355.375,964.625,1460,1203.375,1600.75,2296.625,2360.5,2228.25,2589.125,788.75,40.46,39.51
3.0,1355.375,964.625,1460,1203.25,1600.75,2296.625,2360.5,2228.375,2589.125,788.75,40.49,39.47
3.1,1355.375,964.75,1459.875,1203.25,1600.75,2296.625,2360.625,2228.25,2589,788.75,40.49,39.5
3.2,1355.375,964.75,1459.875,1203.25,1600.75,2296.625,2360.625,2228.375,2589.125,788.75,40.47,39.53
3.3,1355.375,964.75,1459.875,1203.25,1600.75,2296.625,2360.5,2228.375,2589.125,788.75,40.47,39.47
3.4,1355.375,964.75,1459.875,1203.25,1600.75,2296.625,2360.5,2228.25,2589,788.75,40.47,39.53
3.5,1355.375,964.75,1459.875,1203.25,1600.625,2296.625,2360.625,2228.375,2589,788.75,40.47,39.45
3.6,1355.375,964.75,1459.875,1203.25,1600.625,2296.625,2360.5,2228.375,2589,788.75,40.49,39.5
3.7,1355.375,964.75,1459.875,1203.25,1600.75,2296.625,2360.5,2228.375,2589,788.875,40.43,39.43
3.8,1355.375,964.75,1459.875,1203.25,1600.625,2296.5,2360.5,2228.375,2589,788.875,40.49,39.51
3.9,1355.25,964.75,1459.875,1203.25,1600.625,2296.625,2360.5,2228.375,2589,788.875,40.47,39.48
4.0,1355.375,964.875,1459.875,1203.25,1600.625,2296.5,2360.5,2228.375,2589,788.875,40.46,39.47
4.1,1355.375,964.875,1459.875,1203.25,1600.625,2296.5,2360.5,2228.375,2589,788.875,40.49,39.48
4.2,1355.25,964.875,1459.875,1203.25,1600.625,2296.5,2360.5,2228.375,2589,788.875,40.49,39.51
4.3,1355.375,964.875,1459.875,1203.25,1600.625,2296.5,2360.5,2228.375,2589,788.875,40.46,39.48
4.4,1355.375,964.875,1459.875,1203.25,1600.5,2296.5,2360.5,2228.5,2589,788.875,40.47,39.48
4.5,1355.375,964.875,1459.875,1203.25,1600.5,2296.5,2360.5,2228.5,2589,788.875,40.47,39.47
4.6,1355.375,965,1459.875,1203.375,1600.5,2296.375,2360.5,2228.5,2589,788.875,40.47,39.48
4.7,1355.375,965,1459.875,1203.25,1600.625,2296.375,2360.5,2228.5,2589,788.875,40.46,39.48
4.8,1355.375,965,1459.875,1203.25,1600.5,2296.375,2360.5,2228.5,2589,788.875,40.47,39.47
4.9,1355.375,965.125,1459.875,1203.25,1600.625,2296.375,2360.375,2228.375,2588.875,789,40.49,39.48
5.0,1355.375,965.125,1459.875,1203.25,1600.625,2296.375,2360.375,2228.5,2589,789,40.49,39.47
5.1,1355.5,965.125,1459.75,1203.25,1600.625,2296.25,2360.375,2228.5,2589,788.875,40.47,39.47
5.2,1355.625,965.25,1459.75,1203.125,1600.5,2296.25,2360.375,2228.5,2589,788.875,40.47,39.45
5.3,1355.625,965.375,1459.625,1203.125,1600.625,2296.25,2360.375,2228.5,2589.25,788.75,40.47,39.47
5.4,1355.625,965.375,1459.625,1203.125,1600.625,2296.25,2360.375,2228.5,2589.875,788.875,40.47,39.47
5.5,1355.75,965.5,1459.5,1203.125,1600.75,2296.375,2360.375,2228.375,2590.75,788.75,40.49,39.48
5.6,1355.75,965.625,1459.5,1203.125,1600.875,2296.625,2360.625,2228.375,2592,788.75,40.47,39.48
5.7,1355.875,965.875,1459.375,1203.25,1601,2297.25,2360.875,2228.5,2593.5,788.875,40.49,39.51
5.8,1355.875,966.375,1459.375,1203.5,1601.125,2298.125,2361.375,2228.625,2595.625,789.125,40.47,39.44
5.9,1356,967.375,1459.375,1204.25,1601.5,2299.5,2362.125,2228.875,2598,789.5,40.47,39.44
6.0,1356.25,969.125,1459.375,1205.125,1602,2301.375,2363,2229.25,2600.75,790.25,40.49,39.5
6.1,1356.625,971.625,1459.5,1206.625,1602.875,2303.75,2364.25,2230.25,2603.625,791.5,40.49,39.44
6.2,1357.25,975,1459.625,1208.375,1603.75,2306.75,2365.75,2231.625,2607.125,793.125,40.47,39.44
6.3,1358,979.5,1459.875,1210.625,1605,2310.25,2367.5,2233.625,2610.75,795.25,40.47,39.45
6.4,1359.125,985,1460.25,1213.5,1606.625,2314.375,2369.375,2236.25,2614.625,797.875,40.47,39.44
6.5,1360.625,991.625,1460.625,1216.75,1608.5,2318.75,2371.375,2239.625,2618.25,800.875,40.49,39.5
6.6,1362.375,999.375,1461.25,1220.625,1610.75,2323.5,2373.5,2243.75,2622.25,804.5,40.49,39.44
6.7,1364.625,1008.375,1461.875,1225,1613.25,2328.625,2375.875,2248.5,2626.5,808.375,40.49,39.44
