time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1410.5,1025.125,1491.625,1257.875,1598.25,2288.625,2352,2342.875,2648.25,1088.875,38.9,43.03
0.1,1410.5,1025.25,1491.75,1257.875,1598.25,2288.625,2352,2343,2648.25,1088.875,38.88,43.05
0.2,1410.5,1025.375,1491.75,1257.875,1598.25,2288.625,2351.875,2343,2648.125,1089,38.88,43.03
0.3,1410.625,1025.375,1491.75,1258,1598.25,2288.625,2352,2343,2648.125,1089,38.9,43.03
0.4,1410.625,1025.5,1491.75,1258.125,1598.25,2288.625,2352,2343.125,2648.125,1089,38.9,43.01
0.5,1410.625,1025.625,1491.75,1258.125,1598.25,2288.625,2351.875,2343.125,2648.125,1089,38.88,43.03
0.6,1410.625,1025.625,1491.75,1258.125,1598.25,2288.625,2352,2343.125,2648.125,1089,38.9,43.01
0.7,1410.75,1025.625,1491.75,1258.25,1598.25,2288.625,2351.875,2343.25,2648.125,1089,38.9,43.04
0.8,1410.75,1025.75,1491.625,1258.25,1598.25,2288.625,2351.875,2343.25,2648,1089.125,38.9,43
0.9,1410.75,1025.875,1491.75,1258.25,1598.25,2288.625,2351.875,2343.375,2648,1089.125,38.91,43.06
1.0,1410.75,1025.875,1491.625,1258.375,1598.25,2288.625,2352,2343.375,2648.125,1089.125,38.9,43.06
1.1,1410.875,1026,1491.625,1258.375,1598.125,2288.625,2351.875,2343.375,2648.125,1089.125,38.88,43.07
1.2,1410.875,1026.125,1491.625,1258.5,1598.25,2288.5,2352,2343.5,2648,1089.25,38.9,43.01
1.3,1410.875,1026.125,1491.75,1258.5,1598.25,2288.625,2351.875,2343.5,2648,1089.25,38.91,43.03
1.4,1410.875,1026.25,1491.625,1258.5,1598.125,2288.5,2351.875,2343.5,2648,1089.25,38.91,43.05
1.5,1411,1026.25,1491.625,1258.5,1598.125,2288.5,2351.875,2343.625,2648,1089.25,38.91,42.99
1.6,1411.125,1026.375,1491.625,1258.625,1598.125,2288.625,2351.875,2343.625,2648,1089.375,38.91,43
1.7,1411.125,1026.375,1491.625,1258.625,1598.25,2288.5,2351.875,2343.625,2648,1089.375,38.91,43.02
1.8,1411.125,1026.5,1491.625,1258.625,1598.25,2288.5,2351.875,2343.75,2648,1089.375,38.91,43.03
1.9,1411.125,1026.5,1491.625,1258.75,1598.25,2288.5,2351.875,2343.75,2648,1089.375,38.91,43.02
