time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1379.625,959,1509.625,1228.25,1591.125,2281.75,2348.625,2232.875,2599.625,907.125,38.4,44.07
0.1,1379.625,958.875,1509.5,1228.25,1591.25,2281.75,2348.75,2232.875,2599.625,907,38.41,44.07
0.2,1379.625,959,1509.5,1228.125,1591.25,2281.75,2348.75,2232.875,2599.5,907,38.43,44.12
0.3,1379.625,959,1509.5,1228.125,1591.25,2281.75,2348.75,2232.875,2599.5,907,38.41,44.09
0.4,1379.625,959,1509.5,1228.25,1591.25,2281.75,2348.75,2232.875,2599.5,907,38.44,44.09
0.5,1379.625,959,1509.5,1228.125,1591.125,2281.75,2348.75,2232.875,2599.5,907,38.44,44.09
0.6,1379.75,959,1509.5,1228.25,1591.25,2281.75,2348.75,2232.75,2599.5,907,38.44,44.09
0.7,1379.625,959,1509.5,1228.25,1591.25,2281.75,2348.625,2232.75,2599.5,907,38.41,44.03
0.8,1379.75,959,1509.5,1228.125,1591.25,2281.875,2348.625,2232.75,2599.5,907,38.44,44.12
0.9,1379.625,959,1509.5,1228.25,1591.25,2281.875,2348.75,2232.75,2599.5,907,38.44,44.03
1.0,1379.75,959,1509.5,1228.125,1591.25,2281.875,2348.75,2232.75,2599.5,906.875,38.43,44.1
1.1,1379.75,959,1509.5,1228.125,1591.25,2281.875,2348.75,2232.75,2599.5,906.875,38.44,44.05
1.2,1379.75,959,1509.5,1228.125,1591.25,2281.875,2348.625,2232.75,2599.5,906.875,38.44,44.08
1.3,1379.75,959,1509.5,1228.125,1591.25,2281.875,2348.75,2232.75,2599.375,906.875,38.44,44.03
1.4,1379.75,959,1509.5,1228.25,1591.125,2281.875,2348.75,2232.75,2599.5,906.875,38.44,44.06
1.5,1379.75,958.875,1509.5,1228.125,1591.25,2281.75,2348.75,2232.75,2599.375,906.875,38.46,44.09
1.6,1379.75,958.875,1509.5,1228.125,1591.25,2281.75,2348.75,2232.75,2599.5,906.875,38.46,44.08
1.7,1379.75,958.875,1509.5,1228.125,1591.25,2281.875,2348.75,2232.75,2599.375,906.875,38.44,44.08
1.8,1379.75,958.875,1509.5,1228.25,1591.25,2281.875,2348.75,2232.625,2599.375,906.875,38.47,44.07
1.9,1379.625,958.875,1509.5,1228.125,1591.25,2281.75,2348.625,2232.75,2599.375,906.875,38.44,44.09
2.0,1379.625,958.875,1509.5,1228.125,1591.125,2281.875,2348.875,2232.75,2599.375,906.875,38.41,44.09
2.1,1379.625,958.875,1509.5,1228.125,1591.125,2281.875,2348.875,2232.75,2599.375,906.875,38.46,44.03
2.2,1379.625,958.875,1509.5,1228.25,1591.25,2281.875,2348.875,2232.75,2599.375,906.75,38.44,44.08
2.3,1379.75,958.875,1509.5,1228.125,1591.25,2281.875,2348.625,2232.625,2599.375,906.75,38.46,44.03
2.4,1379.625,958.875,1509.5,1228.125,1591.125,2281.875,2348.75,2232.75,2599.375,906.75,38.44,44.06
2.5,1379.625,958.875,1509.5,1228.125,1591.125,2281.875,2348.75,2232.625,2599.375,906.75,38.46,44.05
2.6,1379.625,958.875,1509.375,1228.125,1591.25,2281.75,2348.875,2232.625,2599.25,906.75,38.46,44.11
2.7,1379.75,958.875,1509.5,1228.125,1591.125,2281.875,2348.75,2232.625,2599.375,906.75,38.46,44.06
2.8,1379.625,958.875,1509.375,1228.125,1591.125,2281.75,2348.75,2232.625,2599.25,906.75,38.47,44.05
2.9,1379.75,958.875,1509.5,1228.125,1591.125,2281.875,2348.625,2232.625,2599.25,906.75,38.46,44.08
3.0,1379.75,958.75,1509.5,1228.125,1591.125,2281.875,2348.75,2232.625,2599.25,906.75,38.47,44.05
3.1,1379.75,958.75,1509.5,1228.125,1591.125,2281.875,2348.75,2232.625,2599.375,906.75,38.44,44
3.2,1379.75,958.875,1509.5,1228.125,1591.125,2281.875,2348.75,2232.625,2599.25,906.75,38.44,44.08
3.3,1379.75,958.875,1509.5,1228.125,1591.25,2281.875,2348.875,2232.625,2599.25,906.75,38.46,44.02
3.4,1379.75,958.875,1509.5,1228.125,1591.25,2281.875,2348.75,2232.625,2599.25,906.75,38.46,44.05
3.5,1379.75,958.875,1509.5,1228.125,1591.25,2281.875,2348.75,2232.625,2599.25,906.625,38.49,44.04
3.6,1379.75,958.875,1509.5,1228.125,1591.25,2281.875,2348.75,2232.625,2599.25,906.75,38.46,44.05
3.7,1379.75,958.875,1509.375,1228.125,1591.25,2281.875,2348.75,2232.625,2599.25,906.625,38.46,44.06
3.8,1379.75,958.875,1509.375,1228.125,1591.25,2281.875,2348.75,2232.625,2599.25,906.625,38.46,44
3.9,1379.75,958.875,1509.375,1228.125,1591.25,2281.875,2348.75,2232.625,2599.25,906.625,38.44,44
4.0,1379.75,958.875,1509.375,1228.125,1591.25,2281.875,2348.75,2232.5,2599.125,906.625,38.46,44.02
4.1,1379.75,958.875,1509.375,1228.125,1591.25,2281.875,2348.875,2232.5,2599.125,906.625,38.44,44.02
4.2,1379.75,958.75,1509.375,1228.125,1591.25,2281.875,2348.75,2232.625,2599.125,906.625,38.46,43.98
4.3,1379.75,958.875,1509.375,1228.125,1591.25,2281.75,2348.875,2232.5,2599.125,906.625,38.46,44.02
4.4,1379.75,958.875,1509.375,1228.125,1591.25,2281.75,2348.75,2232.5,2599.125,906.5,38.47,44.02
4.5,1379.75,958.75,1509.375,1228.125,1591.25,2281.75,2348.875,2232.5,2599.25,906.5,38.46,43.99
4.6,1379.75,958.75,1509.375,1228.125,1591.25,2281.75,2348.75,2232.5,2599.125,906.625,38.44,43.99
4.7,1379.75,958.75,1509.375,1228.125,1591.25,2281.75,2348.875,2232.5,2599.125,906.5,38.44,44
4.8,1379.75,958.75,1509.375,1228.125,1591.375,2281.75,2348.875,2232.5,2599.125,906.5,38.46,44.03
4.9,1379.75,958.75,1509.375,1228.125,1591.25,2281.75,2348.875,2232.5,2599.125,906.5,38.47,43.99
5.0,1379.75,958.875,1509.375,1228.125,1591.25,2281.75,2348.875,2232.5,2599.375,906.5,38.47,44.05
5.1,1379.75,958.875,1509.25,1228,1591.375,2281.75,2348.75,2232.5,2599,906,38.46,44.05
5.2,1379.875,958.875,1509.25,1228,1591.25,2281.75,2348.75,2232.5,2599,905.375,38.44,44.02
5.3,1379.875,958.875,1509.125,1228,1591.375,2281.75,2348.625,2232.5,2599,904.75,38.46,43.99
5.4,1379.875,958.875,1509.125,1228,1591.375,2281.75,2348.75,2232.5,2599.125,904.25,38.46,44
5.5,1380,958.875,1509.125,1227.875,1591.375,2281.875,2348.875,2232.5,2599.25,903.625,38.47,44.05
5.6,1379.875,959,1509,1228,1591.5,2282,2349,2232.5,2599.625,903.125,38.44,44
5.7,1380,959.125,1509,1228,1591.625,2282.625,2349.25,2232.5,2600.375,902.875,38.47,44.02
5.8,1380,959.375,1509,1228.25,1591.75,2283.375,2349.75,2232.625,2601.375,902.625,38.47,43.98
5.9,1380.125,960,1509,1228.5,1592,2284.5,2350.375,2232.75,2602.75,902.625,38.46,44.02
